Month,Date,Subah_sadiq,Tulu_aaftab,Zawal,Asr,Maghrib,Isha
10,24,04:57:00 AM,06:20:00 AM,23:52:00 AM,15:00:00,17:23:00,18:47:00
10,25,04:57:00 AM,06:21:00 AM,23:52:00 AM,14:59:00,17:22:00,18:46:00
10,26,04:58:00 AM,06:22:00 AM,23:52:00 AM,14:59:00,17:21:00,18:45:00
10,27,04:59:00 AM,06:23:00 AM,23:52:00 AM,14:58:00,17:20:00,18:44:00
10,28,05:00:00 AM,06:24:00 AM,23:52:00 AM,14:57:00,17:19:00,18:43:00
10,29,05:00:00 AM,06:24:00 AM,23:52:00 AM,14:56:00,17:18:00,18:42:00
10,30,05:01:00 AM,06:25:00 AM,23:52:00 AM,14:55:00,17:17:00,18:41:00
10,31,05:02:00 AM,06:26:00 AM,23:51:00 AM,14:55:00,17:16:00,18:41:00
1,11,05:03:00 AM,06:27:00 AM,23:51:00 AM,14:54:00,17:15:00,18:40:00
2,11,05:03:00 AM,06:28:00 AM,23:51:00 AM,14:53:00,17:14:00,18:39:00
3,11,05:04:00 AM,06:29:00 AM,23:51:00 AM,14:53:00,17:14:00,18:38:00
4,11,05:05:00 AM,06:30:00 AM,23:51:00 AM,14:52:00,17:13:00,18:37:00
5,11,05:06:00 AM,06:31:00 AM,23:51:00 AM,14:51:00,17:12:00,18:37:00
6,11,05:07:00 AM,06:32:00 AM,23:52:00 AM,14:51:00,17:11:00,18:36:00
7,11,05:07:00 AM,06:32:00 AM,23:52:00 AM,14:50:00,17:10:00,18:35:00
8,11,05:08:00 AM,06:33:00 AM,23:52:00 AM,14:49:00,17:09:00,18:35:00
9,11,05:09:00 AM,06:34:00 AM,23:52:00 AM,14:49:00,17:09:00,18:34:00
10,11,05:10:00 AM,06:35:00 AM,23:52:00 AM,14:48:00,17:08:00,18:33:00
11,11,05:11:00 AM,06:36:00 AM,23:52:00 AM,14:48:00,17:07:00,18:33:00
12,11,05:11:00 AM,06:37:00 AM,23:52:00 AM,14:47:00,17:07:00,18:32:00
11,13,05:12:00 AM,06:38:00 AM,23:52:00 AM,14:47:00,17:06:00,18:32:00
11,14,05:13:00 AM,06:39:00 AM,23:52:00 AM,14:46:00,17:05:00,18:31:00
11,15,05:14:00 AM,06:40:00 AM,23:53:00 AM,14:46:00,17:05:00,18:31:00
11,16,05:15:00 AM,06:41:00 AM,23:53:00 AM,14:45:00,17:04:00,18:30:00
11,17,05:15:00 AM,06:42:00 AM,23:53:00 AM,14:45:00,17:04:00,18:30:00
11,18,05:16:00 AM,06:43:00 AM,23:53:00 AM,14:44:00,17:03:00,18:30:00
11,19,05:17:00 AM,06:44:00 AM,23:53:00 AM,14:44:00,17:03:00,18:29:00
11,20,05:18:00 AM,06:45:00 AM,23:54:00 AM,14:44:00,17:02:00,18:29:00
11,21,05:19:00 AM,06:45:00 AM,23:54:00 AM,14:43:00,17:02:00,18:29:00
11,22,05:19:00 AM,06:46:00 AM,23:54:00 AM,14:43:00,17:01:00,18:29:00
11,23,05:20:00 AM,06:47:00 AM,23:54:00 AM,14:43:00,17:01:00,18:28:00
11,24,05:21:00 AM,06:48:00 AM,23:55:00 AM,14:42:00,17:01:00,18:28:00
11,25,05:22:00 AM,06:49:00 AM,23:55:00 AM,14:42:00,17:00:00,18:28:00
11,26,05:22:00 AM,06:50:00 AM,23:55:00 AM,14:42:00,17:00:00,18:28:00
11,27,05:23:00 AM,06:51:00 AM,23:56:00 AM,14:42:00,17:00:00,18:28:00
11,28,05:24:00 AM,06:52:00 AM,23:56:00 AM,14:42:00,17:00:00,18:28:00
11,29,05:25:00 AM,06:53:00 AM,23:56:00 AM,14:42:00,17:00:00,18:28:00
11,30,05:26:00 AM,06:54:00 AM,23:57:00 AM,14:42:00,16:59:00,18:27:00
1,12,05:26:00 AM,06:54:00 AM,23:57:00 AM,14:41:00,16:59:00,18:27:00
2,12,05:27:00 AM,06:55:00 AM,23:57:00 AM,14:41:00,16:59:00,18:27:00
3,12,05:28:00 AM,06:56:00 AM,23:58:00 AM,14:41:00,16:59:00,18:28:00
4,12,05:29:00 AM,06:57:00 AM,23:58:00 AM,14:41:00,16:59:00,18:28:00
5,12,05:29:00 AM,06:58:00 AM,23:59:00 AM,14:41:00,16:59:00,18:28:00
6,12,05:30:00 AM,06:59:00 AM,23:59:00 AM,14:41:00,16:59:00,18:28:00
7,12,05:31:00 AM,06:59:00 AM,23:59:00 AM,14:42:00,16:59:00,18:28:00
8,12,05:31:00 AM,07:00:00 AM,12:00:00,14:42:00,16:59:00,18:28:00
9,12,05:32:00 AM,07:01:00 AM,12:00:00,14:42:00,17:00:00,18:28:00
10,12,05:33:00 AM,07:02:00 AM,12:01:00,14:42:00,17:00:00,18:29:00
11,12,05:33:00 AM,07:02:00 AM,12:01:00,14:42:00,17:00:00,18:29:00
12,12,05:34:00 AM,07:03:00 AM,12:02:00,14:42:00,17:00:00,18:29:00
12,13,05:35:00 AM,07:04:00 AM,12:02:00,14:43:00,17:00:00,18:30:00
12,14,05:35:00 AM,07:04:00 AM,12:03:00,14:43:00,17:01:00,18:30:00
12,15,05:36:00 AM,07:05:00 AM,12:03:00,14:43:00,17:01:00,18:30:00
12,16,05:37:00 AM,07:06:00 AM,12:04:00,14:44:00,17:01:00,18:31:00
12,17,05:37:00 AM,07:06:00 AM,12:04:00,14:44:00,17:02:00,18:31:00
12,18,05:38:00 AM,07:07:00 AM,12:05:00,14:44:00,17:02:00,18:31:00
12,19,05:38:00 AM,07:08:00 AM,12:05:00,14:45:00,17:03:00,18:32:00
12,20,05:39:00 AM,07:08:00 AM,12:06:00,14:45:00,17:03:00,18:32:00
12,21,05:39:00 AM,07:09:00 AM,12:06:00,14:46:00,17:04:00,18:33:00
12,22,05:40:00 AM,07:09:00 AM,12:07:00,14:46:00,17:04:00,18:33:00
12,23,05:40:00 AM,07:10:00 AM,12:07:00,14:46:00,17:05:00,18:34:00
12,24,05:41:00 AM,07:10:00 AM,12:08:00,14:47:00,17:05:00,18:34:00
12,25,05:41:00 AM,07:10:00 AM,12:08:00,14:48:00,17:06:00,18:35:00
12,26,05:42:00 AM,07:11:00 AM,12:09:00,14:48:00,17:06:00,18:36:00
12,27,05:42:00 AM,07:11:00 AM,12:09:00,14:49:00,17:07:00,18:36:00
12,28,05:42:00 AM,07:11:00 AM,12:10:00,14:49:00,17:08:00,18:37:00
12,29,05:43:00 AM,07:12:00 AM,12:10:00,14:50:00,17:08:00,18:37:00
12,30,05:43:00 AM,07:12:00 AM,12:11:00,14:50:00,17:09:00,18:38:00
12,31,05:43:00 AM,07:12:00 AM,12:11:00,14:51:00,17:10:00,18:39:00
